,Algo,Run_Type,Accuracy,f1_0,f1_1,f1_mean
0,dt,Bench_Heart,0.801,0.783,0.816,0.7995
1,knn,Bench_Heart,0.721,0.678,0.754,0.716
2,boost,Bench_Heart,0.859,0.845,0.87,0.8574999999999999
3,nn,Bench_Heart,0.848,0.836,0.858,0.847
4,svm,Bench_Heart,0.707,0.661,0.741,0.7010000000000001
5,dt,Tune_Heart,0.851,0.84,0.861,0.8505
6,knn,Tune_Heart,0.736,0.707,0.759,0.733
7,boost,Tune_Heart,0.888,0.874,0.898,0.886
8,nn,Tune_Heart,0.866,0.853,0.877,0.865
9,svm,Tune_Heart,0.888,0.874,0.898,0.886
10,dt,Bench_Wine,0.854,0.914,0.514,0.714
11,knn,Bench_Wine,0.867,0.924,0.439,0.6815
12,boost,Bench_Wine,0.862,0.922,0.431,0.6765
13,nn,Bench_Wine,0.873,0.929,0.384,0.6565000000000001
14,svm,Bench_Wine,0.856,0.923,0.0,0.4615
15,dt,Tune_Wine,0.844,0.906,0.534,0.72
16,knn,Tune_Wine,0.846,0.908,0.538,0.7230000000000001
17,boost,Tune_Wine,0.808,0.881,0.511,0.696
18,nn,Tune_Wine,0.794,0.867,0.535,0.7010000000000001
19,svm,Tune_Wine,0.756,0.839,0.502,0.6705
